@relation transfusion-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute class {1,2}

@data
0.216216,0.040816,0.040816,0.21875,2
0.189189,0.040816,0.040816,0.25,2
0.310811,0.367347,0.367347,0.625,2
0.148649,0.122449,0.122449,0.760417,2
0.189189,0.040816,0.040816,0.270833,2
0.27027,0.265306,0.265306,0.697917,1
0.054054,0.020408,0.020408,0.458333,2
0.148649,0.020408,0.020408,0.239583,2
0.148649,0.040816,0.040816,0.364583,2
0.216216,0.061224,0.061224,0.322917,2
0.283784,0.122449,0.122449,0.375,2
0.175676,0.122449,0.122449,0.770833,2
0.216216,0.102041,0.102041,0.5,2
0.189189,0.040816,0.040816,0.322917,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.22973,0.122449,0.122449,0.583333,1
0.189189,0.040816,0.040816,0.34375,2
0.189189,0.040816,0.040816,0.34375,2
0.216216,0.122449,0.122449,0.645833,2
0.283784,0.020408,0.020408,0.197917,2
0.216216,0.040816,0.040816,0.34375,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.189189,0.020408,0.020408,0.28125,2
0.148649,0.061224,0.061224,0.75,2
0.148649,0.020408,0.020408,0.375,1
0.283784,0.102041,0.102041,0.479167,2
0.310811,0.020408,0.020408,0.21875,2
0.310811,0.102041,0.102041,0.447917,2
0.189189,0.020408,0.020408,0.34375,1
0.216216,0.102041,0.102041,0.822917,2
0.216216,0.061224,0.061224,0.583333,2
0.216216,0.081633,0.081633,0.71875,2
0.283784,0.020408,0.020408,0.25,2
0.283784,0.040816,0.040816,0.34375,2
0.283784,0.040816,0.040816,0.34375,2
0.310811,0.142857,0.142857,0.697917,2
0.283784,0.040816,0.040816,0.375,2
0.310811,0.040816,0.040816,0.34375,2
0.283784,0.040816,0.040816,0.395833,2
0.310811,0.020408,0.020408,0.270833,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.337838,0.102041,0.102041,0.5,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.310811,0.040816,0.040816,0.385417,2
0.283784,0.020408,0.020408,0.322917,2
0.189189,0.040816,0.040816,0.802083,2
0.310811,0,0,0.21875,1
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0.061224,0.061224,0.520833,2
0.310811,0,0,0.21875,2
0.310811,0.122449,0.122449,0.895833,2
0.216216,0.040816,0.040816,0.875,2
0.310811,0.020408,0.020408,0.375,2
0.283784,0.020408,0.020408,0.520833,2
0.310811,0.040816,0.040816,0.625,2
0.527027,0,0,0.385417,2
0.972973,0,0,0.729167,2
